Date,Comp845,Comp793,Comp581,Comp135,Comp477,Comp298
2008-05-02,45.055485,34.718563,,42.148457,77.309998,52.533585
2008-05-05,44.788242,34.247658,,41.75996,75.919998,52.744762
2008-05-06,44.844753,34.390354,,41.305485,75.709999,52.904995
2008-05-07,43.996803,33.227352,,41.657352,73.18,52.489895
2008-05-08,44.228054,32.856327,,41.899235,72.790001,51.849068
2008-05-09,43.205357,33.227352,,41.91391,72.410004,52.023857
2008-05-12,44.54668,33.705402,,42.529613,74.529999,53.655045
2008-05-13,44.721405,32.449654,,41.525402,74.559998,53.873535
2008-05-14,44.413063,32.756443,,42.289482,74.199997,54.165436
2008-05-15,44.741966,33.548439,,42.046562,76.120003,54.333279
2008-05-16,44.772816,33.198833,,41.987671,76.459999,53.472103
2008-05-19,44.649467,32.813545,,41.516567,82.290001,52.625546
2008-05-20,44.248619,31.179634,,41.185307,80.720001,52.100121
2008-05-21,43.568264,30.266373,,40.655308,78.300003,50.640522
2008-05-22,43.957779,30.715862,,41.258934,79.260002,51.640339
2008-05-23,43.677311,30.195011,,41.038097,78.349998,52.049019
2008-05-27,43.703312,30.687321,,41.516567,80.620003,52.975872
2008-05-28,43.614998,30.580296,,42.024479,80.080002,53.450222
2008-05-29,43.677311,31.086899,,42.650177,80.349998,53.260483
2008-05-30,43.734451,30.680195,,42.50296,81.620003,52.049019
2008-06-02,43.459206,30.073734,,42.105461,80.230003,51.326519
2008-06-03,43.313782,29.888224,,42.525043,80.110001,51.114876
2008-06-04,43.344959,29.702709,,42.458782,81.5,51.676823
2008-06-05,43.890274,30.038044,,44.019337,84.510002,53.639992
2008-06-06,42.773651,28.603928,,42.966698,80.629997,51.954155
2008-06-09,42.654205,26.763117,,43.850025,79.43,52.056328
2008-06-10,42.472427,27.319649,,44.004616,79.620003,51.421387
2008-06-11,41.548,26.491991,,43.077095,77.279999,50.261032
2008-06-12,41.766132,27.119865,,43.51141,76.150002,49.772064
2008-06-13,41.776505,28.240051,,43.562962,79.169998,51.31921
2008-06-16,42.08812,28.496897,,43.658634,81.699997,51.392204
2008-06-17,41.937496,27.854763,,43.202259,82.970001,51.034603
2008-06-18,41.714184,27.640713,,42.451427,82.519997,50.326714
2008-06-19,41.599922,27.5765,,42.466152,84.260002,51.26086
2008-06-20,41.013062,27.012848,,41.413521,81.099998,50.158863
2008-06-23,41.049427,26.306477,,41.693233,80.68,49.947212
2008-06-24,41.059795,26.912949,,42.193771,79.639999,50.545647
2008-06-25,41.340256,27.048515,,42.782681,80.510002,51.735218
2008-06-26,40.478119,25.914063,,41.833103,76.300003,50.377789
2008-06-27,39.756237,25.007929,,41.442951,74.660004,51.275444
2008-06-30,39.834141,24.479944,,41.36935,73.330002,51.187862
2008-07-01,39.309601,24.544876,,41.980312,73.620003,52.946663
2008-07-02,38.992786,24.963335,,41.590172,71.440002,52.64016
2008-07-03,39.449825,25.475597,,41.663788,72,52.713127
2008-07-07,39.091465,24.559299,,41.891979,72.489998,53.18021
